census_block_group,population,elderly_percentage,income,affected_one_ring,Yi_avg_loss_ratio,relief_m,area_km2,road_density_km_per_km2,population_density,centroid_lon,centroid_lat,centroid_x_m,centroid_y_m,zero_vehicle_rate
060374034085,1076.0,37.9182,133068,0,0.0,65.26069641,0.82790163,13.45084225,1299.671315,-117.8771981,34.03029038,196022.9869,-440612.4278,0.0421052631578947
060374037021,2120.0,12.7358,115165,0,0.0,17.87890625,0.853068809,13.699037,2485.145369,-117.8586364,34.09483739,197575.0058,-433415.507,0.0175718849840255
060374037022,1964.0,17.668,137422,0,0.333333333,42.58799744,0.859017412,18.62736975,2286.333168,-117.8589651,34.08670451,197565.0585,-434318.1705,0.0728862973760933
060374037033,1433.0,19.1905,110303,0,1.0,17.25682068,0.402837987,18.73681539,3557.261344,-117.849623,34.09760977,198399.5223,-433089.2118,0.0
060374037211,2204.0,12.3866,71250,0,1.0,15.95188904,0.571628086,13.96264968,3855.653796,-117.8684134,34.09616641,196669.7641,-433288.4394,0.0156739811912225
060374037212,1880.0,27.1277,92208,0,-0.125,22.28419495,0.566723192,18.82719675,3317.316156,-117.8802814,34.09772906,195571.0763,-433139.682,0.033989266547406
060374037213,519.0,22.736,142083,0,-0.083333333,11.88101196,0.429459831,16.74680523,1208.494864,-117.8860566,34.09458762,195046.0984,-433499.9843,0.0
060374037214,866.0,17.2055,56250,0,1.0,11.98449707,0.331250744,16.44666743,2614.333749,-117.8769224,34.09391002,195890.4244,-433556.3022,0.1081081081081081
060374037221,2083.0,8.0653,57891,0,-0.375,18.30018616,0.542569334,17.31644778,3839.140675,-117.876889,34.08910601,195905.4343,-434089.0253,0.0932896890343698
060374037222,2303.0,7.3383,70125,0,0.5,24.7800293,0.610790025,21.38936116,3770.526541,-117.8678554,34.08958685,196737.6534,-434016.9923,0.044891640866873
060374037223,1044.0,16.092,87500,0,0.5,31.05970764,0.649943775,15.89326371,1606.29279,-117.8724892,34.08431735,196323.2692,-434611.0116,0.0
